[4.78s -> 30.70s]  ДИНАМИЧНАЯ МУЗЫКА
[30.70s -> 32.78s]  ГОВОРИТ ПО-АНГЛИЙСКИ
[32.78s -> 36.38s]  ГОВОРИТ ПО-АНГЛИЙСКИ
[36.38s -> 39.78s]  В общем, думаю, вы поняли, что это 1000 долларов шоу,
[39.78s -> 41.74s]  и я его ведучий Дима Гордей.
[41.74s -> 46.14s]  Дима Гордей – один из самых популярных автоблогеров России.
[46.14s -> 49.34s]  Его аудитория в почти 7 миллионов подписчиков
[49.34s -> 53.70s]  не раз убеждалась в том, что он может превратить обычный автомобиль
[53.70s -> 57.14s]  в машину мечты, и что любое средство передвижения –
[57.14s -> 59.98s]  это не только практично, но и весело.
[60.62s -> 64.90s]  На этой неделе я решу сделать настоящую мексиканскую вечеринку.
[64.90s -> 69.34s]  Как всегда, позвал подписчиков, и они будут соревноваться между собой,
[69.34s -> 71.66s]  и один из них заберет 1000 баксов.
[71.66s -> 74.86s]  В общем, готовьте чимпурада или готовьте чаеку,
[74.86s -> 77.58s]  присаживайтесь поудобнее, и погнали.
[77.58s -> 89.03s]  По правилам челленджа, каждому из 4 участников
[89.03s -> 93.79s]  дается подготовленный автомобиль с установленной на нем гигантской битой.
[93.79s -> 96.47s]  Посередине площадки, прямо над треком,
[97.43s -> 98.43s]  и три поменьше.
[98.43s -> 101.95s]  Задача участников – разбить все пиньяты быстрее остальных.
[101.95s -> 104.19s]  Победитель заберет 1000 баксов.
[106.19s -> 110.07s]  Всем привет! Давайте похлопаем друг другу. Рад всех видеть.
[110.07s -> 112.11s]  Хоть и погода и не соответствует,
[112.11s -> 115.87s]  но сегодня у нас челлендж называется «Мексиканская вечеринка».
[115.87s -> 119.19s]  Вы видите пиньяты. Их у нас 4 штуки.
[119.19s -> 122.47s]  Все будете ездить на одной машине, чтобы было по-честному.
[122.47s -> 124.55s]  На ней установлена специальная бита.
[124.55s -> 127.31s]  Линия старта вот тут. Вы едете.
[127.31s -> 131.31s]  И кто быстрее собьет все, выигрывает и забирает 1000 долларов.
[131.31s -> 132.79s]  Давайте тогда посчитаемся.
[132.79s -> 135.47s]  В каменах нужна бумага. Кто первый начнет?
[135.47s -> 136.87s]  Чичико.
[136.87s -> 138.87s]  Чичико.
[138.87s -> 140.87s]  Чичико.
[140.87s -> 142.87s]  Просто молчи.
[142.87s -> 144.87s]  Он последний, а ты предпоследний.
[144.87s -> 146.87s]  Ты выбираешь, кем ты поедешь.
[146.87s -> 149.03s]  Последним, наверное. Последним. Окей.
[149.03s -> 151.03s]  Я поеду второй. Второй.
[151.03s -> 154.03s]  Я только третий. Третий? Ты первый, да?
[154.03s -> 155.03s]  Ну все.
[155.03s -> 158.03s]  Я не катался на «Жиге» с автошколой.
[158.03s -> 160.03s]  Это было 12 лет назад.
[160.03s -> 164.03s]  Для усложнения и поддержки антуража, так сказать,
[164.03s -> 166.03s]  каждому по шляпе.
[168.03s -> 171.03s]  Собственно, все. Мы начинаем «Мексиканскую вечеринку».
[171.03s -> 174.92s]  Рома у нас едет первый.
[174.92s -> 176.92s]  Итак, посты звукового сигнала.
[178.92s -> 180.92s]  Погнали.
[181.92s -> 183.92s]  Все, время пошло.
[184.92s -> 186.92s]  Ну, собственно, как я и думал.
[188.92s -> 191.92s]  Когда едешь на машине, ты не понимаешь,
[191.92s -> 193.92s]  чего нам AvtСk на машине.
[193.92s -> 206.68s]  Погнали.
[206.68s -> 209.28s]  Когда едешь на машине, ты не понимаешь, что происходит.
[209.32s -> 212.04s]  Попал, ты не попал. То есть нет никакой тактильной связи.
[212.08s -> 216.28s]  Ветер дует, они колышутся, ты проезжаешь и смотришь, что она болтается.
[216.32s -> 218.16s]  Сбил, не сбил, как, чего.
[218.20s -> 220.40s]  Ты сидишь, рулишь, думаешь, не понимаешь, что за херня.
[220.44s -> 221.44s]  Как бы, ну...
[222.20s -> 224.20s]  Хоть попадаю, нет. Интересно.
[226.08s -> 229.04s]  Вот эта круглая пеньятти достается больше всего,
[229.08s -> 232.20s]  но, к сожалению, с нее удара слишком слабая.
[237.24s -> 238.72s]  О, посыпалась!
[239.56s -> 241.20s]  Так, первая есть.
[241.92s -> 244.72s]  Вообще хер поймешь. Попадаю, не попадаю.
[252.45s -> 253.45s]  Есть!
[255.29s -> 256.49s]  Вторая есть.
[257.53s -> 264.82s]  Ну, третья тоже, можно сказать, есть.
[268.21s -> 272.13s]  Мы решили немного изменить правила и сделать тайминг пять минут,
[272.17s -> 274.65s]  кто больше разобьет за это время.
[277.81s -> 278.81s]  Давай!
[279.49s -> 280.89s]  Все, посыпалась!
[282.89s -> 283.89s]  Все, есть!
[285.65s -> 287.33s]  Все, из нее посыпалась.
[287.37s -> 290.29s]  Мы решили изменить правила, просто есть теперь пять минут,
[290.33s -> 293.05s]  за которые ты должен максимально много пеньят уничтожить.
[293.09s -> 295.69s]  Как только посыпалась из нее, значит, ты ее разбил.
[295.73s -> 298.09s]  Три уже есть, осталась шляпа и 20 секунд.
[304.94s -> 305.94s]  Все!
[307.02s -> 308.02s]  Фух!
[308.54s -> 312.66s]  Честно, страшновато стоять здесь, потому что он постоянно мимо меня ездит,
[312.70s -> 315.86s]  но, что ни менее, за пять минут он смог разбить три пеньята
[315.86s -> 318.90s]  так, чтобы из них посыпалась. Я считаю, это крутой результат.
[318.94s -> 322.06s]  Прикольно, как минимум, что это развитие автотематики,
